cusip_id,offering_amt,offering_date,maturity,bond_type,security_level,yankee,country_domicile,coupon,asset_backed,putable,convertible,callable,issue_id
00077TAA2,250000,20/05/1993,15/05/2023,CDEB,SUB,N,USA,7.75,N,N,N,N,5
00077TAB0,150000,13/10/1993,15/10/2093,CDEB,SUB,N,USA,7.125,N,N,N,N,6
001192AA1,300000,23/02/2001,14/01/2011,CDEB,SEN,N,USA,7.125,N,N,N,N,117277
00163XAM2,175000,10/08/2006,15/08/2013,CMTN,SEN,N,USA,5.9,N,N,N,N,351976
00206RBS0,1250000,07/02/2013,12/02/2016,CDEB,SEN,N,USA,0.7411,N,N,N,N,589049
00206RCB6,400000,20/11/2013,27/11/2018,CDEB,SEN,N,USA,3.22138,N,N,N,N,647968
00206RCD2,400000,05/03/2014,11/03/2019,CDEB,SEN,N,USA,3.44106,N,N,N,N,608141
00206RCF7,500000,26/03/2014,30/03/2017,CDEB,SEN,N,USA,1.41817,N,N,N,N,608657
00206RDU3,500000,23/03/2017,15/01/2020,CDEB,SEN,N,USA,2.95338,N,N,N,N,678371
00206RDV1,1500000,16/05/2017,15/07/2021,CDEB,SEN,N,USA,3.25338,N,N,N,N,688707
00206REJ7,750000,27/07/2017,14/02/2023,CDEB,SEN,N,USA,3.245,N,N,N,N,701223
002799AH7,1000000,20/04/2011,25/04/2014,CDEB,SEN,Y,GBR,1.8186,N,N,N,N,553315
002799AJ3,1000000,20/04/2011,27/04/2016,CDEB,SEN,Y,GBR,4,N,N,N,N,553311
002799AK0,500000,20/04/2011,25/04/2014,CDEB,SEN,Y,GBR,2.875,N,N,N,N,553313
019918AB7,200000,25/07/1994,15/11/2013,CDEB,SEN,N,USA,6.5,N,N,N,N,149324
02005NAF7,1000000,08/02/2011,11/02/2014,CDEB,SEN,N,USA,4.5,N,N,N,N,541151
02005NAR1,750000,04/09/2013,10/09/2018,CDEB,SEN,N,USA,4.75,N,N,N,N,599491
02005NBE9,750000,02/11/2015,05/11/2018,CDEB,SEN,N,USA,3.25,N,N,N,N,642073
02005NBF6,750000,17/11/2015,20/11/2025,CDEB,SUB,N,USA,5.75,N,N,N,N,642369
02006DAM3,1120,10/12/2012,15/06/2014,RNT,SEN,N,USA,2.15,N,N,N,N,615264
02209SAC7,1400000,05/11/2008,10/11/2013,CDEB,SEN,N,USA,8.5,N,N,N,N,485119
02209SAD5,3100000,05/11/2008,10/11/2018,CDEB,SEN,N,USA,9.7,N,N,N,N,485120
02209SAE3,1500000,05/11/2008,10/11/2038,CDEB,SEN,N,USA,9.95,N,N,N,N,485122
02209SAF0,775000,18/12/2008,22/06/2010,CDEB,SEN,N,USA,7.125,N,N,N,N,487442
02209SAG8,525000,03/02/2009,06/02/2014,CDEB,SEN,N,USA,7.75,N,N,N,N,490285
02209SAH6,1500000,03/02/2009,06/02/2039,CDEB,SEN,N,USA,10.2,N,N,N,N,490288
02209SAJ2,2200000,03/02/2009,06/08/2019,CDEB,SEN,N,USA,9.25,N,N,N,N,490292
02209SAM5,900000,06/08/2012,09/08/2042,CDEB,SEN,N,USA,4.25,N,N,N,N,579933
02209SAN3,1900000,06/08/2012,09/08/2022,CDEB,SEN,N,USA,2.85,N,N,N,N,579931
02209SAP8,350000,29/04/2013,02/05/2023,CDEB,SEN,N,USA,2.95,N,N,N,N,592327
02209SAQ6,650000,29/04/2013,02/05/2043,CDEB,SEN,N,USA,4.5,N,N,N,N,592329
02209SAR4,1800000,28/10/2013,31/01/2044,CDEB,SEN,N,USA,5.375,N,N,N,N,601453
02209SAS2,1400000,28/10/2013,31/01/2024,CDEB,SEN,N,USA,4,N,N,N,N,601451
025537AL5,400000,28/11/2018,01/12/2021,CDEB,SEN,N,USA,3.65,N,N,N,N,794453
025816AY5,2000000,12/03/2008,19/03/2018,CDEB,SEN,N,USA,7,N,N,N,N,434384
025816AZ2,1000000,12/03/2008,19/03/2038,CDEB,SEN,N,USA,8.15,N,N,N,N,434385
025816BG3,1000000,15/05/2013,22/05/2018,CDEB,SEN,N,USA,1.55,N,N,N,N,631694
025816BH1,850000,15/05/2013,22/05/2018,CDEB,SEN,N,USA,2.49394,N,N,N,N,631672
0258M0CX5,525000,12/06/2008,19/06/2013,CMTN,SEN,N,USA,1.8982,N,N,N,N,470958
02687QCR7,200000,02/10/2007,15/10/2037,CMTZ,SEN,N,USA,0,N,N,N,N,417467
030955AB4,96300,04/06/1991,01/06/2016,CDEB,SEN,N,USA,9.1,N,N,N,N,1057
03523TBK3,300000,07/07/2011,14/07/2014,CDEB,SEN,N,USA,0.58705,N,N,N,N,558375
035240AC4,309155,08/12/2016,01/08/2018,CDEB,SEN,N,USA,3.04805,N,N,N,N,667365
035242AF3,250000,22/01/2014,01/02/2019,CDEB,SEN,N,USA,2.941,N,N,N,N,605855
035242AK2,500000,13/01/2016,01/02/2021,CDEB,SEN,N,USA,3.5125,N,N,N,N,645969
03524BAD8,300000,22/01/2014,27/01/2017,CDEB,SEN,N,USA,1.07567,N,N,N,N,605853
037389AK9,701995,25/06/2009,01/01/2027,CDEB,JUNS,N,USA,8.205,N,N,N,N,500135
037833BC3,250000,06/05/2015,12/05/2017,CDEB,SEN,N,USA,,N,N,N,N,631555
037833BE9,500000,06/05/2015,06/05/2020,CDEB,SEN,N,USA,2.47563,N,N,N,N,631559
037833BT6,500000,16/02/2016,23/02/2021,CDEB,SEN,N,USA,3.6535,N,N,N,N,647343
04010L509,125000,26/01/2012,15/02/2022,PS,SEN,N,USA,7,N,N,N,N,569115
046353AP3,250000,05/06/2017,10/06/2022,CDEB,SEN,Y,GBR,3.073,N,N,N,N,692909
05565QBE7,1000000,12/03/2008,17/03/2010,CDEB,SEN,Y,GBR,0.46344,N,N,N,N,434308
05565QBF4,3000000,04/11/2008,07/11/2013,CDEB,SEN,Y,GBR,5.25,N,N,N,N,485094
05565QBK3,250000,12/03/2009,17/03/2011,CDEB,SEN,Y,GBR,1.30188,N,N,N,N,492417
05565QBL1,1400000,01/05/2009,08/05/2014,CDEB,SEN,Y,GBR,3.625,N,N,N,N,494922
05565QBT4,1000000,27/10/2011,01/11/2016,CDEB,SEN,Y,GBR,2.248,N,N,N,N,563397
05565QBV9,500000,01/12/2011,06/06/2013,CDEB,SEN,Y,GBR,0.7331,N,N,N,N,565457
05565QBW7,450000,01/12/2011,06/12/2013,CDEB,SEN,Y,GBR,0.8814,N,N,N,N,565459
05565QCA4,1000000,01/11/2012,06/11/2015,CDEB,SEN,Y,GBR,0.7,N,N,N,N,583753
05565QCF3,250000,07/05/2013,10/05/2018,CDEB,SEN,Y,GBR,2.3205,N,N,N,N,593277
05565QCL0,350000,04/11/2013,07/05/2015,CDEB,SEN,Y,GBR,0.4861,N,N,N,N,602587
05565QCM8,500000,04/11/2013,06/11/2015,CDEB,SEN,Y,GBR,0.6311,N,N,N,N,602589
05565QCN6,650000,04/11/2013,07/11/2016,CDEB,SEN,Y,GBR,1.2076,N,N,N,N,602591
05565QCQ9,250000,05/02/2014,10/05/2019,CDEB,SEN,Y,GBR,3.237,N,N,N,N,606913
05565QDN5,1500000,15/09/2017,19/09/2027,CDEB,SEN,Y,GBR,3.279,N,N,N,N,710901
05565QDP0,700000,15/09/2017,19/09/2022,CDEB,SEN,Y,GBR,2.52,N,N,N,N,710899
05565QDQ8,300000,15/09/2017,19/09/2022,CDEB,SEN,Y,GBR,3.052,N,N,N,N,710897
05565QDR6,500000,15/09/2017,19/09/2019,CDEB,SEN,Y,GBR,1.768,N,N,N,N,710895
05565QDT2,1000000,21/05/2019,24/11/2020,CDEB,SEN,Y,GBR,2.77475,N,N,N,N,827189
06048WMW7,10000,02/08/2012,07/08/2032,CMTN,SEN,N,USA,4,N,N,N,N,602474
06048WMY3,10000,08/08/2012,13/08/2027,CMTN,SEN,N,USA,,N,N,N,N,602946
06048WNE6,7000,19/09/2012,26/09/2027,CMTN,SEN,N,USA,,N,N,N,N,607792
06048WNF3,2000,09/10/2012,12/10/2027,CMTN,SEN,N,USA,,N,N,N,N,610374
06048WPS3,2500,25/09/2014,30/09/2016,CMTN,SEN,N,USA,,N,N,N,N,680098
060505AR5,1000000,19/09/2002,15/09/2012,CDEB,SEN,N,USA,4.875,N,N,N,N,149578
060505CM4,750000,09/08/2006,15/08/2011,CDEB,SEN,N,USA,0.36075,N,N,N,N,351799
06050TMF6,350000,03/12/2015,07/12/2018,USBN,SEN,N,USA,3.07681,N,N,N,N,642555
06050WEX9,21787,14/11/2011,15/11/2016,RNT,SEN,N,USA,4.65,N,N,N,N,575686
06050XDY6,7183,11/02/2002,15/02/2012,RNT,SUB,N,USA,5.9,N,N,N,N,137061
06051GFS3,2500000,27/07/2015,01/08/2025,CMTN,SEN,N,USA,3.875,N,N,N,N,709272
06406HCY3,350000,04/09/2014,11/09/2019,CMTN,SEN,N,USA,2.93063,N,N,N,N,678016
06426DAB0,26000,12/02/2009,12/02/2012,CDEB,SEN,N,USA,2.65,N,N,N,N,490788
06738EAC9,1250000,04/09/2014,11/09/2024,CDEB,SUB,Y,GBR,4.375,N,N,N,N,616339
06738EAE5,2000000,09/03/2015,16/03/2025,CDEB,SEN,Y,GBR,3.65,N,N,N,N,627453
06738EAG0,1000000,01/06/2015,08/06/2020,CDEB,SEN,Y,GBR,2.875,N,N,N,N,632117
06738EAJ4,1500000,10/08/2015,17/08/2045,CDEB,SEN,Y,GBR,5.25,N,N,N,N,637815
06738EAP0,1250000,05/05/2016,12/05/2026,CDEB,SUB,Y,GBR,5.2,N,N,N,N,653201
06738GUZ1,2050000,06/09/2007,12/09/2012,CDEB,SEN,Y,GBR,5.45,N,N,N,N,414471
06738JBR4,369,13/09/2010,16/09/2024,RNT,SEN,Y,GBR,4,N,N,N,N,533172
06738JDC5,1107,23/08/2010,26/08/2013,RNT,SEN,Y,GBR,1.5,N,N,N,N,529843
06738JE42,190,22/02/2011,25/02/2018,RNT,SEN,Y,GBR,3.75,N,N,N,N,547680
06738JMT8,1612,08/11/2010,12/11/2015,RNT,SEN,Y,GBR,2,N,N,N,N,538818
06738JVA9,1063,11/10/2011,14/10/2016,RNT,SEN,Y,GBR,3,N,N,N,N,573222
06738JZB3,1606,13/02/2012,16/02/2020,RNT,SEN,Y,GBR,3.5,N,N,N,N,586042
06739FHT1,2000000,12/02/2014,20/02/2019,CDEB,SEN,Y,GBR,2.5,N,N,N,N,606983
06739FHU8,750000,12/02/2014,17/02/2017,CDEB,SEN,Y,GBR,1.48622,N,N,N,N,606985
06739FHV6,2250000,12/05/2014,15/05/2024,CDEB,SEN,Y,GBR,3.75,N,N,N,N,611349
06739FJA0,1100,11/12/2015,19/12/2022,CMTN,SEN,Y,GBR,0.125,N,N,N,N,721484
06739FJF9,1100,04/03/2016,13/03/2023,CMTN,SEN,Y,GBR,0.125,N,N,N,N,728138
06739GAR0,3000000,05/01/2010,08/01/2020,CDEB,SEN,Y,GBR,5.125,N,N,N,N,511882
06739GBB4,1000000,30/03/2010,07/04/2015,CDEB,SEN,Y,GBR,3.9,N,N,N,N,519443
06739GBP3,1250000,06/10/2010,14/10/2020,CDEB,SEN,Y,GBR,5.14,N,N,N,N,535392
06739GBS7,1250000,06/01/2011,13/01/2014,CDEB,SEN,Y,GBR,2.375,N,N,N,N,539357
06740L8C2,3000000,14/11/2012,21/11/2022,CDEB,SEN,Y,GBR,7.625,N,N,N,N,613802
06740P3N4,750000,06/01/2011,13/01/2014,CDEB,SEN,Y,GBR,1.2836,N,N,N,N,539359
06741JS26,1250000,15/02/2012,23/02/2015,CDEB,SEN,Y,GBR,2.75,N,N,N,N,570705
06741JV89,80885,11/08/2014,18/08/2021,CMTZ,SEN,Y,GBR,0,N,N,N,N,675712
06741RGF2,330,25/03/2013,28/03/2028,RNT,SEN,Y,GBR,2.75,N,N,N,N,625878
06741TJZ1,1990,23/11/2012,28/11/2022,CMTN,SEN,Y,GBR,3.27063,N,N,N,N,614500
06747M3N4,541,19/12/2018,24/12/2025,CMTZ,SEN,Y,GBR,0,N,N,N,N,798645
06747MDN3,70,25/02/2019,27/02/2026,CMTZ,SEN,Y,GBR,0,N,N,N,N,809109
07177MAJ2,375000,29/04/2016,22/06/2018,CDEB,SEN,N,USA,3.02814,N,N,N,N,655501
071813BK4,500000,04/06/2013,11/12/2014,CDEB,SEN,N,USA,0.4046,N,N,N,N,594721
07385TAJ5,750000,30/10/2002,15/11/2014,CDEB,SEN,N,USA,5.7,N,N,N,N,151926
073902CD8,500000,18/06/2003,02/07/2018,CDEB,SEN,N,USA,4.65,N,N,N,N,166723
073902KF4,1000000,24/10/2005,30/10/2015,CDEB,SEN,N,USA,5.3,N,N,N,N,309247
073902KG2,1500000,25/01/2006,31/01/2011,CDEB,SEN,N,USA,0.51813,N,N,N,N,323332
073902PN2,1000000,15/11/2006,22/01/2017,CDEB,SUB,N,USA,5.55,N,N,N,N,370665
073902PP7,1250000,18/01/2007,01/02/2012,CDEB,SEN,N,USA,5.35,N,N,N,N,379714
073902PR3,2500000,27/09/2007,02/10/2017,CDEB,SEN,N,USA,6.4,N,N,N,N,416716
073902RU4,3000000,29/01/2008,01/02/2018,CDEB,SEN,N,USA,7.25,N,N,N,N,429889
075887BC2,750000,04/12/2014,15/06/2016,CDEB,SEN,N,USA,1.08385,N,N,N,N,620913
079867AQ0,375133,06/12/1995,15/12/2015,CDEB,SEN,N,USA,6.3,N,N,N,N,32926
084664CL3,250000,08/08/2016,15/08/2019,CDEB,SEN,N,USA,2.778,N,N,N,N,660003
084670BG2,300000,29/01/2013,11/02/2016,CDEB,SEN,N,USA,0.8,N,N,N,N,588121
084670BL1,750000,07/08/2014,14/08/2019,CDEB,SEN,N,USA,2.1,N,N,N,N,615969
10373QBD1,181699,10/12/2018,19/09/2022,CDEB,SEN,N,USA,3.052,N,N,N,N,797541
126168AB9,100000,03/12/1993,01/12/2013,CDEB,SEN,N,USA,7.125,N,N,N,N,3024
134429AX7,400000,30/07/2012,01/08/2014,CDEB,SEN,N,USA,0.52535,N,N,N,N,578965
134429BB4,500000,12/03/2018,16/03/2020,CDEB,SEN,N,USA,2.91025,N,N,N,N,746233
134429BC2,400000,12/03/2018,15/03/2021,CDEB,SEN,N,USA,3.04025,N,N,N,N,746235
14040HAV7,750000,14/07/2011,15/07/2014,CDEB,SEN,N,USA,2.125,N,N,N,N,558545
14040HAW5,250000,14/07/2011,15/07/2014,CDEB,SEN,N,USA,1.37645,N,N,N,N,558577
14040HAX3,750000,14/07/2011,15/07/2016,CDEB,SEN,N,USA,3.15,N,N,N,N,558541
14040HAY1,1250000,14/07/2011,15/07/2021,CDEB,SEN,N,USA,4.75,N,N,N,N,558543
149123BT7,500000,24/05/2011,21/11/2012,CDEB,SEN,N,USA,0.5345,N,N,N,N,555123
149123BW0,750000,24/05/2011,21/05/2013,CDEB,SEN,N,USA,0.4591,N,N,N,N,555125
14912HPK0,2495,06/06/2011,15/06/2015,RNT,SEN,N,USA,1.55,N,N,N,N,555285
14913Q2K4,600000,09/05/2018,15/05/2020,CMTN,SEN,N,USA,2.33813,N,N,N,N,757193
165167CQ8,2425206,02/12/2015,15/12/2022,CDEB,SS,N,USA,8,N,N,N,N,645047
166764AX8,500000,09/11/2015,09/11/2017,CDEB,SEN,N,USA,1.67139,N,N,N,N,642207
170032AT3,175000,06/02/2008,15/08/2016,CCOV,SEN,N,USA,4.25,N,N,N,N,430893
171340AM4,300000,20/07/2017,25/01/2019,CDEB,SEN,N,USA,2.63988,N,N,N,N,700305
17275RAY8,900000,10/06/2015,15/06/2018,CDEB,SEN,N,USA,2.4345,N,N,N,N,632673
172967AL5,200000,09/05/1995,15/05/2025,CDEB,SEN,N,USA,7.875,N,N,N,N,25620
172967DE8,1000000,01/12/2005,07/01/2016,CDEB,SEN,N,USA,5.3,N,N,N,N,315349
172967DY4,1250000,05/02/2007,15/02/2017,CDEB,SUB,N,USA,5.5,N,N,N,N,382465
172967EC1,1000000,18/05/2007,29/05/2037,CDEB,SEN,N,USA,5.875,N,N,N,N,398523
172967EG2,3000000,06/08/2007,13/08/2010,CDEB,SEN,N,USA,0.57281,N,N,N,N,409777
172967EH0,1500000,08/08/2007,15/08/2017,CDEB,SEN,N,USA,6,N,N,N,N,410209
172967EJ6,1000000,20/08/2007,27/08/2012,CDEB,SEN,N,USA,5.5,N,N,N,N,411854
172967EL1,3000000,10/10/2007,17/10/2012,CDEB,SEN,N,USA,5.3,N,N,N,N,418090
172967EM9,4000000,14/11/2007,21/11/2017,CDEB,SEN,N,USA,6.125,N,N,N,N,422169
172967EP2,2500000,27/02/2008,05/03/2038,CDEB,SEN,N,USA,6.875,N,N,N,N,432644
172967EQ0,4500000,07/04/2008,11/04/2013,CDEB,SEN,N,USA,5.5,N,N,N,N,436964
172967ES6,3000000,05/05/2008,15/05/2018,CDEB,SEN,N,USA,6.125,N,N,N,N,466747
172967ET4,550000,06/05/2008,15/05/2018,CDEB,SEN,N,USA,3.53875,N,N,N,N,466827
172967EU1,3000000,12/08/2008,19/08/2013,CDEB,SEN,N,USA,6.5,N,N,N,N,480024
172967EW7,2500000,20/07/2009,15/07/2039,CDEB,SEN,N,USA,8.125,N,N,N,N,500541
172967EY3,2500000,05/08/2009,12/08/2014,CDEB,SEN,N,USA,6.375,N,N,N,N,502051
172967EZ0,2000000,17/09/2009,15/10/2014,CDEB,SEN,N,USA,5.5,N,N,N,N,504369
172967FD8,1500000,12/05/2010,19/05/2015,CDEB,SEN,N,USA,4.75,N,N,N,N,523115
172967FE6,1875000,09/06/2010,13/12/2013,CDEB,SEN,N,USA,6,N,N,N,N,525041
172967FF3,2250000,02/08/2010,09/08/2020,CDEB,SEN,N,USA,5.375,N,N,N,N,529075
172967FG1,750000,06/08/2010,13/08/2013,CDEB,SEN,N,USA,2.2751,N,N,N,N,529679
172967FL0,1000000,06/01/2011,13/01/2014,CMTN,SEN,N,USA,1.6936,N,N,N,N,543812
172967FS5,1875000,08/06/2011,15/06/2016,CDEB,SEN,N,USA,3.953,N,N,N,N,555781
172967FT3,1000000,25/10/2011,14/01/2022,CDEB,SEN,N,USA,4.5,N,N,N,N,563371
172967FU0,500000,09/11/2011,21/11/2016,CDEB,SEN,N,USA,2.961,N,N,N,N,576294
172967FV8,500000,02/12/2011,09/12/2014,CDEB,SEN,N,USA,3.625,N,N,N,N,566623
172967FW6,2500000,03/01/2012,10/01/2017,CDEB,SEN,N,USA,4.45,N,N,N,N,568531
172967FX4,1000000,19/01/2012,30/01/2042,CDEB,SEN,N,USA,5.875,N,N,N,N,568833
172967FY2,1250000,22/02/2012,02/03/2015,CDEB,SEN,N,USA,2.65,N,N,N,N,570871
172967GB1,1250000,31/07/2012,07/08/2015,CDEB,SEN,N,USA,2.25,N,N,N,N,579017
172967GC9,500000,20/09/2012,27/09/2017,CDEB,SEN,N,USA,2.73328,N,N,N,N,608146
172967GG0,1750000,03/01/2013,15/01/2016,CDEB,SEN,N,USA,1.25,N,N,N,N,585851
172967GJ4,500000,31/01/2013,08/11/2017,CDEB,SEN,N,USA,2.36194,N,N,N,N,588201
172967GK1,894000,05/02/2013,30/07/2022,CDEB,SUB,N,USA,4.05,N,N,N,N,588943
172967GL9,1500000,14/02/2013,01/03/2023,CDEB,SEN,N,USA,3.375,N,N,N,N,589383
172967GP0,850000,22/03/2013,01/04/2016,CDEB,SEN,N,USA,1.3,N,N,N,N,590887
172967GQ8,650000,22/03/2013,01/04/2016,CDEB,SEN,N,USA,1.4022,N,N,N,N,590885
172967GS4,1350000,24/04/2013,01/05/2018,CDEB,SEN,N,USA,1.75,N,N,N,N,592239
172967GT2,1250000,07/05/2013,15/05/2023,CDEB,SUB,N,USA,3.5,N,N,N,N,593281
172967GV7,1000000,18/07/2013,25/07/2016,CDEB,SEN,N,USA,1.5981,N,N,N,N,597041
172967GW5,1500000,18/07/2013,25/07/2016,CDEB,SEN,N,USA,1.7,N,N,N,N,597043
172967GZ8,500000,23/07/2013,30/07/2018,CDEB,SEN,N,USA,3.39878,N,N,N,N,637596
172967HA2,1000000,10/09/2013,13/09/2043,CDEB,SUB,N,USA,6.675,N,N,N,N,599573
172967HB0,1420000,10/09/2013,13/09/2025,CDEB,SUB,N,USA,5.5,N,N,N,N,599571
172967HC8,1750000,19/09/2013,26/09/2018,CDEB,SEN,N,USA,2.5,N,N,N,N,599767
172967HD6,2000000,21/10/2013,25/10/2023,CDEB,SEN,N,USA,3.875,N,N,N,N,601361
172967HE4,500000,31/10/2013,07/11/2043,CDEB,SEN,N,USA,4.95,N,N,N,N,601529
172967HF1,500000,06/11/2013,09/11/2018,CDEB,SEN,N,USA,3.47125,N,N,N,N,602609
172967HG9,800000,07/11/2013,15/11/2016,CDEB,SEN,N,USA,1.3,N,N,N,N,602637
172967HH7,500000,07/11/2013,15/11/2016,CDEB,SEN,N,USA,1.497,N,N,N,N,602639
172967HK0,1000000,04/03/2014,10/03/2017,CDEB,SEN,N,USA,1.35,N,N,N,N,608091
172967HL8,1000000,04/03/2014,10/03/2017,CDEB,SEN,N,USA,1.49306,N,N,N,N,608089
172967HM6,2000000,01/04/2014,08/04/2019,CDEB,SEN,N,USA,2.55,N,N,N,N,608685
172967HN4,250000,01/04/2014,08/04/2019,CDEB,SEN,N,USA,3.565,N,N,N,N,608687
172967HR5,750000,24/04/2014,01/05/2017,CDEB,SEN,N,USA,1.554,N,N,N,N,610185
172967HS3,1000000,29/04/2014,06/05/2044,CDEB,SUB,N,USA,5.3,N,N,N,N,610215
172967HT1,1250000,09/06/2014,16/06/2024,CDEB,SEN,N,USA,3.75,N,N,N,N,651451
172967HU8,2000000,22/07/2014,29/07/2019,CDEB,SEN,N,USA,2.5,N,N,N,N,614641
172967HV6,750000,29/07/2014,05/08/2024,CDEB,SUB,N,USA,4,N,N,N,N,614753
