CUSIP,PERMNO,PERMCO
00077TAA2,84766,31989
00077TAA2,92355,28711
00077TAB0,84766,31989
00077TAB0,92355,28711
001192AA1,15553,116
00163XAM2,85592,32135
00163XAM2,85592,32135
00206RBS0,66093,21645
00206RCB6,66093,21645
00206RCD2,66093,21645
00206RCF7,66093,21645
00206RDU3,66093,21645
00206RDV1,66093,21645
00206REJ7,66093,21645
002799AH7,75152,20260
002799AJ3,75152,20260
002799AK0,75152,20260
019918AB7,41443,20057
02005NAR1,14558,53687
02005NBE9,14558,53687
02005NBF6,14558,53687
02006DAM3,14558,53687
02209SAC7,13901,21398
02209SAD5,13901,21398
02209SAE3,13901,21398
02209SAF0,13901,21398
02209SAG8,13901,21398
02209SAH6,13901,21398
02209SAJ2,13901,21398
02209SAM5,13901,21398
02209SAN3,13901,21398
02209SAP8,13901,21398
02209SAQ6,13901,21398
02209SAR4,13901,21398
02209SAS2,13901,21398
025537AL5,24109,20077
025816AY5,59176,90
025816AZ2,59176,90
025816BG3,59176,90
025816BH1,59176,90
0258M0CX5,59176,90
02687QCR7,66800,137
030955AB4,66093,21645
030955AB4,66093,21645
03523TBK3,93013,53204
035240AC4,93013,53204
035242AF3,93013,53204
035242AK2,93013,53204
03524BAD8,93013,53204
037389AK9,61735,20203
037389AK9,61735,20203
037833BC3,14593,7
037833BE9,14593,7
037833BT6,14593,7
04010L509,90401,45709
046353AP3,79363,29908
05565QBE7,29890,20333
05565QBF4,29890,20333
05565QBK3,29890,20333
05565QBL1,29890,20333
05565QBT4,29890,20333
05565QBV9,29890,20333
05565QBW7,29890,20333
05565QCA4,29890,20333
05565QCF3,29890,20333
05565QCL0,29890,20333
05565QCM8,29890,20333
05565QCN6,29890,20333
05565QCQ9,29890,20333
05565QDN5,29890,20333
05565QDP0,29890,20333
05565QDQ8,29890,20333
05565QDR6,29890,20333
05565QDT2,29890,20333
06048WMW7,59408,3151
06048WMY3,59408,3151
06048WNE6,59408,3151
06048WNF3,59408,3151
06048WPS3,59408,3151
060505AR5,59408,3151
060505CM4,59408,3151
06050TMF6,59408,3151
06050WEX9,59408,3151
06050WEX9,59408,3151
06050XDY6,59408,3151
06051GFS3,59408,3151
06406HCY3,49656,20265
06426DAB0,80112,12784
06738EAC9,69761,20269
06738EAE5,69761,20269
06738EAG0,69761,20269
06738EAJ4,69761,20269
06738EAP0,69761,20269
06738GUZ1,69761,20269
06738JBR4,69761,20269
06738JDC5,69761,20269
06738JE42,69761,20269
06738JMT8,69761,20269
06738JVA9,69761,20269
06738JZB3,69761,20269
06739FHT1,69761,20269
06739FHU8,69761,20269
06739FHV6,69761,20269
06739FJA0,69761,20269
06739FJF9,69761,20269
06739GAR0,69761,20269
06739GBB4,69761,20269
06739GBP3,69761,20269
06739GBS7,69761,20269
06740L8C2,69761,20269
06740P3N4,69761,20269
06741JS26,69761,20269
06741JV89,69761,20269
06741RGF2,69761,20269
06741TJZ1,69761,20269
06747M3N4,69761,20269
06747MDN3,69761,20269
07177MAJ2,27887,20277
07177MAJ2,85888,16024
071813BK4,27887,20277
07385TAJ5,47896,20436
07385TAJ5,68304,20282
073902CD8,47896,20436
073902CD8,68304,20282
073902KF4,47896,20436
073902KF4,68304,20282
073902KG2,47896,20436
073902KG2,68304,20282
073902PN2,47896,20436
073902PN2,68304,20282
073902PP7,47896,20436
073902PP7,68304,20282
073902PR3,47896,20436
073902PR3,68304,20282
073902RU4,47896,20436
073902RU4,68304,20282
073902RU4,69761,20269
075887BC2,39642,20284
079867AQ0,65883,20290
079867AQ0,66093,21645
084670BG2,17778,540
084670BL1,17778,540
10373QBD1,29890,20333
126168AB9,76221,26084
126168AB9,89330,37665
134429AX7,25320,20384
134429BB4,25320,20384
134429BC2,25320,20384
14040HAV7,81055,30513
14040HAW5,81055,30513
14040HAX3,81055,30513
14040HAY1,81055,30513
149123BT7,18542,20408
149123BW0,18542,20408
14912HPK0,18542,20408
14913Q2K4,18542,20408
165167CQ8,78877,11937
166764AX8,14541,20440
170032AT3,89329,22568
171340AM4,23393,1103
17275RAY8,76076,10486
172967AL5,70519,20483
172967AL5,70519,20483
172967DE8,70519,20483
172967DY4,70519,20483
172967EC1,70519,20483
172967EG2,70519,20483
172967EH0,70519,20483
172967EJ6,70519,20483
172967EL1,70519,20483
172967EM9,70519,20483
172967EP2,70519,20483
172967EQ0,70519,20483
172967ES6,70519,20483
172967ET4,70519,20483
172967EU1,70519,20483
172967EW7,70519,20483
172967EY3,70519,20483
172967EZ0,70519,20483
172967FD8,70519,20483
172967FE6,70519,20483
172967FF3,70519,20483
172967FG1,70519,20483
172967FL0,70519,20483
172967FS5,70519,20483
172967FT3,70519,20483
172967FU0,70519,20483
172967FV8,70519,20483
172967FV8,70519,20483
172967FW6,70519,20483
172967FW6,70519,20483
172967FX4,70519,20483
172967FY2,70519,20483
172967GB1,70519,20483
172967GC9,70519,20483
172967GG0,70519,20483
172967GJ4,70519,20483
172967GK1,70519,20483
172967GL9,70519,20483
172967GP0,70519,20483
172967GQ8,70519,20483
172967GS4,70519,20483
172967GT2,70519,20483
172967GV7,70519,20483
172967GW5,70519,20483
172967GZ8,70519,20483
172967HA2,70519,20483
172967HB0,70519,20483
172967HC8,70519,20483
172967HD6,70519,20483
172967HE4,70519,20483
172967HF1,70519,20483
172967HG9,70519,20483
172967HH7,70519,20483
172967HK0,70519,20483
172967HL8,70519,20483
172967HM6,70519,20483
172967HN4,70519,20483
172967HR5,70519,20483
172967HS3,70519,20483
172967HT1,70519,20483
172967HU8,70519,20483
172967HV6,70519,20483
172967HY0,70519,20483
172967JD4,70519,20483
172967JE2,70519,20483
172967JH5,70519,20483
172967JJ1,70519,20483
172967JN2,70519,20483
172967JR3,70519,20483
172967JT9,70519,20483
172967JU6,70519,20483
172967JV4,70519,20483
172967JW2,70519,20483
172967KA8,70519,20483
172967KB6,70519,20483
172967LL3,70519,20483
1730T0HP7,70519,20483
1730T0JJ9,70519,20483
1730T0KN8,70519,20483
1730T0KP3,70519,20483
1730T0KQ1,70519,20483
1730T0MK2,70519,20483
17313UAA7,70519,20483
17324CUV6,70519,20483
17324XHW3,70519,20483
17326Y7E0,70519,20483
174610AC9,14889,55006
174610AL9,14889,55006
184502AD4,24046,6996
190441AW5,12558,53667
190441AW5,77481,22983
197677AG2,12622,53696
20035CAA8,25081,1261
20451PKM7,75381,21963
20826FAM8,13928,21401
210805AS6,79641,23504
210805AS6,91103,21793
210805AT4,79641,23504
210805AT4,91103,21793
212485AE6,86305,34849
212485AE6,89900,44612
22541HCC4,89154,42125
22541LAH6,89154,42125
22541LAH6,89154,42125
22541LAR4,89154,42125
22541LAR4,89154,42125
225434AF6,89154,42125
225434AF6,89154,42125
225434AG4,89154,42125
225434AG4,89154,42125
2254C0JA6,89154,42125
2254C0TC1,89154,42125
23331AAF6,77661,11559
23331AAJ8,77661,11559
23331AAP4,77661,11559
23331AAS8,77661,11559
23331AAT6,77661,11559
2338E8XL8,86381,34898
2338E8YT0,86381,34898
235851AJ1,49680,20557
24422ERQ4,19350,20566
24424CAP6,19350,20566
24424CAQ4,19350,20566
249030AA5,11600,9424
249030AA5,11600,9424
251526BP3,89199,42291
251526BU2,89199,42291
25152R2U6,89199,42291
25152R2X0,89199,42291
25152RUV3,89199,42291
25152RUY7,89199,42291
25154P469,89199,42291
25154P568,89199,42291
25154P576,89199,42291
25155MKW0,89199,42291
2515A0JR5,89199,42291
2515A0RL9,89199,42291
2515A12N0,89199,42291
2515A13G4,89199,42291
25179MAQ6,87137,35222
25179MAR4,87137,35222
25466AAP6,92121,52396
25468PCF1,26403,20587
25468PCY0,26403,20587
254709AC2,92121,52396
257375AM7,64936,20592
26078JAG5,16851,56027
26078JAH3,16851,56027
263534CH0,11703,20606
263534CM9,11703,20606
263534CM9,16851,56027
263534CM9,19166,20681
26444GAA1,27959,20608
26444GAB9,27959,20608
26444GAC7,27959,20608
26444GAD5,27959,20608
26444GAE3,27959,20608
26444HAD3,27959,20608
26884LAD1,24328,20662
278642202,86356,16285
291641AT5,23042,20646
30231GAM4,11850,20678
30231GAS1,11850,20678
302570BG0,24205,20684
302570BG0,24205,20684
31677QBA6,34746,1741
31677QBD0,34746,1741
31677QBE8,34746,1741
33582VAC2,85994,16060
337915AA0,35167,5259
337915AA0,42906,2093
345370BS8,25785,20750
345397TZ6,25785,20750
345397VR1,25785,20750
345397XH1,25785,20750
345397XL2,25785,20750
345397XT5,25785,20750
345397XW8,25785,20750
34540TQE5,25785,20750
360271AE0,88197,5440
36186CBW2,14558,53687
36186CBX0,14558,53687
36186CBY8,14558,53687
369300AL2,84776,31975
369604BC6,12060,20792
36962GS62,12060,20792
36962GS70,12060,20792
36962GU44,12060,20792
36966RNY8,12060,20792
36966RUC8,12060,20792
370334CB8,17144,20798
370334CC6,17144,20798
37033LFV3,17144,20798
370425RZ5,14558,53687
37045XBA3,12369,53554
37246WAC9,88597,39140
373334FV8,18411,21640
375558BN2,77274,11300
375558BP7,77274,11300
375558BQ5,77274,11300
377372AF4,75064,1973
38141EB24,86868,35048
38141EB32,86868,35048
38141EB40,86868,35048
38141EB73,86868,35048
38141EB99,86868,35048
38141EC49,86868,35048
38141EC56,86868,35048
38141GEE0,86868,35048
38141GEF7,86868,35048
38141GEV2,86868,35048
38141GFM1,86868,35048
38141GGM0,86868,35048
38141GGQ1,86868,35048
38141GGR9,86868,35048
38141GGS7,86868,35048
38141GGT5,86868,35048
38141GGT5,86868,35048
38141GRC0,86868,35048
38141GRD8,86868,35048
38141GVK7,86868,35048
38141GVM3,86868,35048
38141GVN1,86868,35048
38141GVR2,86868,35048
38141GVV3,86868,35048
38141GWU4,86868,35048
38143C5M9,86868,35048
38143C5R8,86868,35048
38143U8G9,86868,35048
38143UAV3,12060,20792
38143UAV3,86868,35048
38143USB8,86868,35048
38143USC6,86868,35048
38144LAB6,86868,35048
38144LAC4,86868,35048
38145GAK6,86868,35048
38145XAA1,86868,35048
38146FAA9,86868,35048
38146FAB7,86868,35048
38146FAC5,86868,35048
38147MAA3,86868,35048
38148FAA7,86868,35048
38148FAB5,86868,35048
38148LAD8,86868,35048
38148LAF3,86868,35048
38148TJT7,86868,35048
38150AAB1,86868,35048
386088AB4,76592,28996
40054K4T0,86868,35048
40054KB70,86868,35048
40054KDM5,86868,35048
40054KF50,86868,35048
40054KGN0,86868,35048
40054KJG2,86868,35048
40054KLC8,86868,35048
40054KYZ3,86868,35048
40054L5R1,86868,35048
40054L6L3,86868,35048
40054LBJ2,86868,35048
40054LBK9,86868,35048
40054LEX8,86868,35048
40054LJ39,86868,35048
40054LJ47,86868,35048
40054LJ54,86868,35048
40054LJA3,86868,35048
40054LLU6,86868,35048
40054LN34,86868,35048
40054LN42,86868,35048
40054LN59,86868,35048
40054LN67,86868,35048
40054LR89,86868,35048
40054LR97,86868,35048
40054LRB2,86868,35048
40054LRL0,86868,35048
40054LS21,86868,35048
40054LV76,86868,35048
40054LVA9,86868,35048
40054LXT6,86868,35048
40054LZR8,86868,35048
40054LZS6,86868,35048
40054LZT4,86868,35048
40054LZV9,86868,35048
40055A2Z9,86868,35048
40055A4C8,86868,35048
40055A4D6,86868,35048
40055A5L7,86868,35048
40055A5M5,86868,35048
40055A5T0,86868,35048
40055A6F9,86868,35048
40055A6G7,86868,35048
40055A6J1,86868,35048
40055A7J0,86868,35048
40055AC62,86868,35048
40055AC70,86868,35048
40055ACE5,86868,35048
40055AD20,86868,35048
40055ADD6,86868,35048
40055ADF1,86868,35048
40055ADG9,86868,35048
40055ADK0,86868,35048
40055AES2,86868,35048
40055AGK7,86868,35048
40055AGL5,86868,35048
40055AHC4,86868,35048
40055AHD2,86868,35048
40055AHH3,86868,35048
40055AHK6,86868,35048
40055AJN8,86868,35048
40055AKQ9,86868,35048
40055AMP9,86868,35048
40055AMX2,86868,35048
40055ANE3,86868,35048
40055ANM5,86868,35048
40055APG6,86868,35048
40055APL5,86868,35048
40055APM3,86868,35048
40055APN1,86868,35048
40055APP6,86868,35048
40055APR2,86868,35048
40055APW1,86868,35048
40055AQK6,86868,35048
40055AQP5,86868,35048
40055ARW9,86868,35048
40055ATJ6,86868,35048
40055ATK3,86868,35048
40055AU39,86868,35048
40055AU54,86868,35048
40055AU88,86868,35048
40055AUA3,86868,35048
40055AUC9,86868,35048
40055AUD7,86868,35048
40055AUP0,86868,35048
40055AWC7,86868,35048
40055AWD5,86868,35048
40055AYK7,86868,35048
40055AYL5,86868,35048
40055AYT8,86868,35048
40055AYU5,86868,35048
40055AYW1,86868,35048
40055AZP5,86868,35048
40055Q2V3,86868,35048
40055Q2W1,86868,35048
40055Q3G5,86868,35048
40055Q3J9,86868,35048
40055Q3K6,86868,35048
40055Q3L4,86868,35048
40055Q3M2,86868,35048
40055Q3N0,86868,35048
40055Q3P5,86868,35048
40055Q3S9,86868,35048
40055Q3V2,86868,35048
40055QA28,86868,35048
40055QAR3,86868,35048
40055QAS1,86868,35048
40055QAU6,86868,35048
40055QAV4,86868,35048
40055QB84,86868,35048
40055QB92,86868,35048
40055QBA9,86868,35048
40055QBB7,86868,35048
40055QBF8,86868,35048
40055QBG6,86868,35048
40055QC59,86868,35048
40055QCH3,86868,35048
40055QCK6,86868,35048
40055QCL4,86868,35048
40055QCU4,86868,35048
40055QD66,86868,35048
40055QDT6,86868,35048
40055QDU3,86868,35048
40055QEU2,86868,35048
40055QGE6,86868,35048
40055QGX4,86868,35048
40055QGY2,86868,35048
40055QKC5,86868,35048
40055QKK7,86868,35048
40055QKY7,86868,35048
40055QL26,86868,35048
40055QL75,86868,35048
40055QLD2,86868,35048
40055QLE0,86868,35048
40055QLG5,86868,35048
40055QLH3,86868,35048
40055QLJ9,86868,35048
40055QLK6,86868,35048
40055QLN0,86868,35048
40055QMJ8,86868,35048
40055QNR9,86868,35048
40055QNT5,86868,35048
40055QQ96,86868,35048
40055QQB1,86868,35048
40055QR79,86868,35048
40055QRM6,86868,35048
40055QRN4,86868,35048
40055QRP9,86868,35048
40055QRQ7,86868,35048
40055QRS3,86868,35048
40055QRT1,86868,35048
40055QRU8,86868,35048
40055QRY0,86868,35048
40055QRZ7,86868,35048
40055QS29,86868,35048
